user_id,product_id,category_code,brand,price,event_type
1877,2512,,lg,257.38,view
2867,4148,electronics.tablet,apple,1544.18,view
235,4149,,gucci,88.03,view
2868,3735,appliances.kitchen.refrigerators,,157.02,view
2417,4082,electronics.smartphone,huawei,128.42,view
2835,4150,,,66.21,view
2869,1929,,sv,360.11,view
2870,22,electronics.smartphone,xiaomi,197.55,view
2332,4151,,elenberg,128.68,view
1529,24,,,151.87,view
2568,349,appliances.environment.air_heater,oasis,28.03,view
2648,4152,,toyo,111.97,view
803,1684,electronics.audio.headphone,elari,51.46,view
754,928,,svc,88.17,view
2736,1418,electronics.camera.video,xiaomi,133.83,view
1846,3680,,kogaz,581.1,view
2222,4153,appliances.iron,vitek,17.99,view
2424,4154,electronics.smartphone,google,579.17,view
2264,2392,electronics.smartphone,oppo,257.38,view
2871,653,electronics.smartphone,vivo,167.29,view
2383,3410,appliances.kitchen.hood,artel,61.24,view
2749,270,electronics.audio.headphone,apple,189.91,view
2872,4155,,,194.6,view
1434,200,electronics.smartphone,xiaomi,452.81,view
2831,1882,computers.notebook,apple,1068.21,view
2169,1486,computers.notebook,acer,2552.93,view
2802,4156,,ikea,23.91,view
2263,4157,computers.notebook,hp,760.35,view
1661,2516,,sokolov,316.87,view
2259,1208,appliances.kitchen.washer,lg,380.85,view
2412,35,appliances.environment.vacuum,dauscher,33.21,view
2655,435,electronics.smartphone,apple,1747.79,view
2873,4158,electronics.audio.acoustic,yamaha,193.52,view
2666,4159,appliances.environment.air_conditioner,,169.86,view
1076,296,appliances.kitchen.dishwasher,beko,300.85,view
2874,4160,,squier,331.54,view
1335,22,electronics.smartphone,xiaomi,197.55,view
2797,4161,electronics.smartphone,meizu,92.38,view
2345,786,electronics.smartphone,apple,1413.16,view
1804,3346,appliances.kitchen.oven,elenberg,97.79,view
1457,1859,electronics.video.tv,samsung,424.62,view
1518,986,electronics.smartphone,huawei,130.62,view
2089,4162,,s.a.n.,16.86,view
2708,1929,,sv,360.11,view
2555,4163,,michelin,100.39,view
2875,231,electronics.smartphone,xiaomi,463.04,view
1448,4164,,dremel,135.43,view
2295,544,electronics.smartphone,xiaomi,322.44,view
2876,4165,,adidas,6.95,view
2659,4166,furniture.kitchen.chair,,100.13,view
1311,4167,appliances.personal.scales,galaxy,12.61,view
1492,515,appliances.environment.vacuum,xiaomi,435.78,view
2575,4114,,unit,35.72,view
2608,4014,,bosch,217.4,view
2877,284,,lucente,103.73,view
2744,404,electronics.audio.headphone,apple,171.56,view
2878,890,electronics.smartphone,apple,946.97,view
2835,4168,,machaon,63.41,view
1434,1123,electronics.smartphone,xiaomi,151.35,view
2764,3999,computers.notebook,msi,2574.04,view
2182,807,appliances.ironing_board,nika,29.58,view
2660,324,electronics.smartphone,samsung,174.78,purchase
2078,73,,,257.15,view
2639,4169,appliances.environment.water_heater,thermex,100.18,view
1930,3128,furniture.living_room.sofa,,257.15,view
2622,1357,electronics.smartphone,samsung,636.05,view
2358,4134,appliances.kitchen.refrigerators,samsung,514.79,view
2708,1929,,sv,360.11,view
2879,610,electronics.smartphone,apple,1052.79,view
2846,744,electronics.smartphone,huawei,111.82,view
1244,4170,,,19.28,view
2880,1288,,ea,74.36,view
2881,4171,kids.toys,orange,11.56,view
2882,60,electronics.smartphone,samsung,388.81,view
1959,326,,,321.73,view
2011,3563,,versace,69.5,view
2859,3945,electronics.telephone,nokia,46.59,view
2883,4172,,sony,66.67,view
2015,4010,apparel.shoes.keds,asics,72.05,view
2017,1728,,uno,702.43,view
2778,4173,electronics.audio.subwoofer,jvc,23.17,view
1587,4052,auto.accessories.alarm,starline,196.92,view
2884,141,electronics.smartphone,oppo,179.38,view
2885,4003,electronics.audio.headphone,samsung,12.48,view
2090,4174,,vitek,17.76,view
2660,324,electronics.smartphone,samsung,174.78,purchase
2006,4088,appliances.kitchen.hob,dauscher,122.5,view
2664,365,electronics.smartphone,xiaomi,241.96,view
1807,4175,,gerat,41.19,view
2155,4176,appliances.environment.air_heater,oasis,23.66,view
2820,1257,electronics.smartphone,huawei,257.36,view
2839,4177,electronics.audio.headphone,beats,147.98,view
1596,4178,,,115.58,view
1453,113,electronics.smartphone,apple,739.81,view
2468,4179,appliances.kitchen.washer,,84.12,view
2886,1973,electronics.smartphone,samsung,97.79,view
2567,121,electronics.smartphone,oneplus,838.89,view
2845,2286,,lider,425.21,view
1700,350,electronics.video.tv,samsung,368.04,view
