user_id,product_id,category_code,brand,price,event_type
5012,122,,xiaomi,29.51,view
5013,7108,,karat,3.22,view
4874,7178,furniture.living_room.sofa,,630.62,view
5014,1518,,,221.88,view
3895,7179,electronics.video.tv,samsung,796.62,view
3640,7180,furniture.bedroom.bed,sv,308.63,view
5015,220,,cordiant,42.99,view
2641,7181,,,475.84,view
4961,3243,electronics.smartphone,vivo,231.64,view
4434,1208,appliances.kitchen.washer,lg,380.85,view
1573,960,construction.tools.saw,bosch,110.68,view
4535,71,electronics.smartphone,samsung,130.76,purchase
4141,7182,auto.accessories.player,,303.71,view
3865,1013,electronics.smartphone,xiaomi,142.86,view
4947,826,,ostamebel,699.89,view
2704,1261,appliances.kitchen.blender,braun,53.98,view
4944,7183,electronics.smartphone,xiaomi,228.25,view
4814,1014,computers.notebook,acer,386.08,view
5016,5358,appliances.kitchen.washer,beko,208.19,view
4919,681,electronics.smartphone,xiaomi,308.63,view
5017,765,electronics.smartphone,samsung,203.35,view
1715,278,electronics.smartphone,samsung,174.76,purchase
4904,1164,electronics.smartphone,samsung,388.68,view
2829,2442,auto.accessories.player,nakamichi,55.34,view
789,7184,appliances.personal.hair_cutter,scarlett,10.27,view
5018,7185,appliances.iron,braun,411.83,view
5019,435,electronics.smartphone,apple,1747.79,view
4677,7186,construction.tools.drill,alteco,50.19,view
1944,3694,,,153.67,view
1968,7187,apparel.shoes,,90.09,view
4840,992,,sony,393.58,view
4335,6088,,,20.59,view
4938,7188,kids.carriage,chicco,195.6,view
4736,7189,furniture.kitchen.chair,lorelli,32.18,view
4796,7190,,focal,291.74,view
3892,71,electronics.smartphone,samsung,130.76,view
4929,88,electronics.smartphone,apple,975.57,view
4056,7191,auto.accessories.compressor,t-max,93.95,view
4848,7134,,carlsbad,281.04,view
4958,1906,,apache,865.57,view
4423,7192,kids.skates,zinc,19.94,view
4521,7193,apparel.shoes,shagovita,43.75,view
4408,1122,electronics.smartphone,meizu,133.59,view
4664,1010,electronics.smartphone,huawei,95.11,view
4719,116,electronics.smartphone,samsung,885.07,purchase
1686,7194,,artmusical,97.81,view
4610,7195,,lucente,11.58,view
4555,1690,electronics.smartphone,apple,470.8,view
4888,7196,,,47.88,view
3281,1726,,xiaomi,23.15,view
4667,2068,electronics.clocks,apple,333.07,view
612,88,electronics.smartphone,apple,975.57,view
3816,7197,,,22.51,view
4916,268,electronics.clocks,apple,311.87,view
4731,1811,auto.accessories.player,,141.55,view
5020,483,,force,241.94,view
5021,428,,sega,36.01,view
5022,154,electronics.smartphone,samsung,154.42,view
4930,247,electronics.smartphone,apple,1619.09,view
4968,564,electronics.smartphone,samsung,257.15,view
5023,692,electronics.smartphone,huawei,963.27,view
1589,6843,electronics.smartphone,xiaomi,90.59,view
4967,7198,,,2.88,view
5024,7199,construction.tools.light,mantra,78.53,view
4960,876,electronics.smartphone,huawei,258.21,view
4993,7200,,,3.22,view
5025,3353,,lonex,61.78,view
5026,147,electronics.smartphone,apple,642.69,view
4313,1234,auto.accessories.alarm,centurion,82.37,view
4996,673,electronics.smartphone,xiaomi,360.34,view
4862,455,electronics.smartphone,samsung,197.43,view
4827,45,electronics.smartphone,samsung,254.82,view
2004,71,electronics.smartphone,samsung,130.76,view
3724,392,appliances.kitchen.washer,samsung,319.14,view
5027,2394,appliances.kitchen.meat_grinder,redmond,55.34,view
4647,7201,,michelin,118.15,view
4959,1774,electronics.smartphone,xiaomi,205.56,view
4068,3438,appliances.kitchen.microwave,elenberg,62.94,view
4983,575,electronics.smartphone,huawei,130.95,cart
5028,7202,construction.tools.painting,fubag,31.4,view
4052,3493,appliances.environment.vacuum,kolner,95.65,view
5029,6562,appliances.kitchen.refrigerators,almacom,122.27,view
5030,7005,,kipardo,200.78,view
4548,61,electronics.smartphone,samsung,1207.71,view
2295,22,electronics.smartphone,xiaomi,197.55,view
4396,2280,,,0.0,view
4470,60,electronics.smartphone,samsung,388.81,purchase
5031,7203,electronics.tablet,apple,1285.48,view
4720,7204,appliances.kitchen.refrigerators,beko,316.35,view
4948,3055,,,118.41,view
3891,5675,electronics.smartphone,vivo,141.29,view
5032,901,apparel.shoes.keds,respect,102.71,view
3642,7205,,,21.36,view
4991,6284,auto.accessories.alarm,pandora,153.67,view
4663,6345,appliances.environment.vacuum,hoover,46.31,view
4389,7206,,,1823.73,view
4352,141,electronics.smartphone,oppo,179.38,view
4394,258,appliances.kitchen.washer,indesit,179.67,view
4903,334,electronics.audio.headphone,apple,161.98,view
4106,1357,electronics.smartphone,samsung,636.05,view
5033,88,electronics.smartphone,apple,975.57,view
4897,2500,furniture.living_room.sofa,,643.26,view
4928,4,electronics.smartphone,apple,1081.98,view
4094,7207,,triangle,45.05,view
5034,101,electronics.smartphone,apple,735.05,view
4487,7118,appliances.kitchen.washer,midea,231.64,view
901,6943,computers.notebook,asus,437.33,view
5035,4694,,arua,34.36,view
5036,18,electronics.smartphone,apple,1747.79,view
3776,5501,,bestway,117.63,view
5037,749,computers.notebook,hp,285.51,view
1170,3556,,hubert,465.69,view
5038,318,,montale,102.96,view
4646,7127,,,163.71,view
3201,7208,appliances.kitchen.refrigerators,,325.14,view
5039,755,appliances.environment.air_heater,,36.53,view
4633,7209,auto.accessories.parktronic,pioneer,51.22,view
4521,7210,apparel.shoes,shagovita,43.75,view
4731,1606,auto.accessories.player,,218.77,view
4959,22,electronics.smartphone,xiaomi,197.55,view
4551,4567,electronics.telephone,texet,6.66,view
4777,7098,appliances.kitchen.coffee_grinder,redmond,28.29,view
4844,1845,electronics.clocks,aimoto,53.49,view
4295,5957,appliances.kitchen.washer,lg,385.82,view
4778,403,appliances.kitchen.washer,midea,100.38,view
4580,1724,electronics.clocks,samsung,259.98,view
5040,7211,appliances.iron,tefal,110.66,view
4893,1092,,lucente,90.61,view
4407,668,electronics.smartphone,apple,1634.51,purchase
5041,2924,appliances.kitchen.refrigerators,dauscher,198.18,view
4619,7154,,babyliss,86.64,purchase
3699,4734,kids.carriage,wingoffly,120.39,view
3983,7212,appliances.kitchen.washer,indesit,208.3,view
4528,2225,appliances.kitchen.mixer,polaris,40.85,view
4757,7213,construction.tools.pump,leo,65.55,view
4855,88,electronics.smartphone,apple,975.57,view
4303,7214,,continental,81.86,view
746,234,electronics.smartphone,samsung,134.42,cart
4370,2740,electronics.clocks,huawei,197.95,view
1573,3182,construction.tools.saw,,128.45,view
4993,7215,,,3.22,view
4250,7216,,,281.86,view
3228,575,electronics.smartphone,huawei,130.95,view
5042,7217,computers.notebook,lenovo,360.11,view
3750,61,electronics.smartphone,samsung,1207.71,view
2780,2255,appliances.environment.air_heater,oasis,36.01,view
4494,1236,electronics.video.tv,artel,150.71,view
1619,7218,construction.tools.light,philips,24.54,view
4404,1977,,bosch,148.96,view
5043,50,electronics.smartphone,apple,464.13,view
4798,88,electronics.smartphone,apple,975.57,view
4500,7172,,xiaomi,21.85,view
5044,280,electronics.smartphone,apple,535.38,view
4065,7219,,tacx,1389.74,view
4632,7220,appliances.environment.vacuum,samsung,69.24,view
4758,4818,,bosch,106.82,view
4569,2656,,bosch,620.32,view
3895,7221,electronics.video.tv,lg,1414.93,view
4119,82,electronics.smartphone,huawei,278.55,view
4879,828,electronics.smartphone,huawei,796.64,view
4630,7175,,,30.86,view
2829,2442,auto.accessories.player,nakamichi,55.34,view
4504,7222,computers.notebook,msi,1106.82,view
3725,68,electronics.smartphone,samsung,286.86,view
3821,4914,computers.notebook,lenovo,887.57,view
5045,721,electronics.clocks,samsung,296.97,view
4944,1912,electronics.smartphone,xiaomi,231.41,view
5035,7223,furniture.bedroom.blanket,,87.52,view
2666,6752,appliances.kitchen.blender,braun,102.94,view
4968,96,electronics.smartphone,samsung,344.64,view
4702,7224,electronics.smartphone,meizu,128.68,view
4141,1703,auto.accessories.player,kenwood,180.18,view
5046,7016,,akom,69.5,view
3070,141,electronics.smartphone,oppo,179.38,cart
4225,470,,,32.43,view
4409,5829,,cantra,101.67,view
4476,624,electronics.smartphone,samsung,871.14,view
4457,7225,electronics.clocks,versace,1776.11,view
4911,2472,auto.accessories.player,jvc,192.8,view
5047,968,appliances.kitchen.washer,indesit,202.84,view
4979,1013,electronics.smartphone,xiaomi,142.86,view
